Width range (cm),Grade,Number of C. nuttallii
2.50-3.49,1-Underdeveloped,3
2.50-3.49,2-Developing,6
2.50-3.49,3-Ripe,2
3.50-4.49,1-Underdeveloped,1
3.50-4.49,2-Developing,0
3.50-4.49,3-Ripe,3
4.50-5.49,1-Underdeveloped,0
4.50-5.49,2-Developing,5
4.50-5.49,3-Ripe,5
5.50-6.49,1-Underdeveloped,0
5.50-6.49,2-Developing,3
5.50-6.49,3-Ripe,5
6.50-7.49,1-Underdeveloped,0
6.50-7.49,2-Developing,3
6.50-7.49,3-Ripe,2
